method,wall_clock_s,accuracy
fedstaleweight,3778.831239868,0.4477
fedstaleweight,3863.547832965,0.4444
fedstaleweight,3885.094382444,0.4478
fedstaleweight,66.357378831,0.1102
fedstaleweight,180.937028574,0.1403
fedstaleweight,215.726427454,0.2122
fedstaleweight,261.659086245,0.2854
fedstaleweight,285.417940989,0.2869
fedstaleweight,310.123147514,0.2879
fedstaleweight,310.123677939,0.2879
fedstaleweight,367.591808912,0.3269
fedstaleweight,389.124510958,0.3406
fedstaleweight,389.125033994,0.3406
fedstaleweight,412.711889068,0.3447
fedstaleweight,466.987501542,0.3641
fedstaleweight,491.841691649,0.3687
fedstaleweight,515.464629557,0.3721
fedstaleweight,540.097350659,0.3768
fedstaleweight,563.51992282,0.3766
fedstaleweight,598.531143634,0.3774
fedstaleweight,620.37864394,0.3791
fedstaleweight,642.981223906,0.3777
fedstaleweight,667.640765992,0.3797
fedstaleweight,773.028591521,0.3793
fedstaleweight,773.028950316,0.3793
fedstaleweight,797.349303741,0.3825
fedstaleweight,797.349588073,0.3825
fedstaleweight,835.049045787,0.3836
fedstaleweight,856.554580001,0.3854
fedstaleweight,880.458101772,0.3848
fedstaleweight,904.126766373,0.3867
fedstaleweight,904.127245852,0.3867
fedstaleweight,927.816749749,0.3864
fedstaleweight,927.817231117,0.3864
fedstaleweight,952.621890049,0.3865
fedstaleweight,952.622170474,0.3865
fedstaleweight,1009.033858779,0.3885
fedstaleweight,1009.034202778,0.3885
fedstaleweight,1033.680552293,0.3893
fedstaleweight,1109.09619064,0.3917
fedstaleweight,1139.792878488,0.3917
fedstaleweight,1161.280975941,0.3924
fedstaleweight,1161.281240551,0.3924
fedstaleweight,1185.883229996,0.3923
fedstaleweight,1211.877496088,0.3933
fedstaleweight,1234.399957413,0.3934
fedstaleweight,1234.400180227,0.3934
fedstaleweight,1282.429185798,0.3941
fedstaleweight,1311.234459917,0.3952
fedstaleweight,1417.738855554,0.3992
fedstaleweight,1442.366159131,0.3975
fedstaleweight,1523.904335537,0.3998
fedstaleweight,1635.911544109,0.403
fedstaleweight,1698.463870393,0.4044
fedstaleweight,1698.464100725,0.4044
fedstaleweight,1723.031913919,0.4035
fedstaleweight,1779.692890923,0.4048
fedstaleweight,1801.379422708,0.4056
fedstaleweight,1826.063481131,0.4058
fedstaleweight,1939.605325589,0.409
fedstaleweight,1964.123455752,0.4076
fedstaleweight,2012.244565132,0.408
fedstaleweight,2034.7917428,0.4103
fedstaleweight,2070.615576096,0.4074
fedstaleweight,2070.616273261,0.4074
fedstaleweight,2140.966177204,0.4121
fedstaleweight,2164.783676001,0.412
fedstaleweight,2224.952696067,0.4119
fedstaleweight,2246.535309984,0.4108
fedstaleweight,2270.219674524,0.4164
fedstaleweight,2294.87954688,0.4158
fedstaleweight,2318.599744838,0.4146
fedstaleweight,2342.237132609,0.4164
fedstaleweight,2342.237628644,0.4164
fedstaleweight,2377.089967727,0.4152
fedstaleweight,2377.090637559,0.4152
fedstaleweight,2398.491644436,0.4199
fedstaleweight,2423.04098187,0.4187
fedstaleweight,2471.39960416,0.418
fedstaleweight,2495.017798716,0.4172
fedstaleweight,2495.018488233,0.4172
fedstaleweight,2519.857154081,0.4207
fedstaleweight,2519.857745858,0.4207
fedstaleweight,2543.682421722,0.4219
fedstaleweight,2590.28710774,0.4236
fedstaleweight,2614.129164979,0.4222
fedstaleweight,2668.812834391,0.4268
fedstaleweight,2690.606755749,0.4231
fedstaleweight,2690.607292229,0.4231
fedstaleweight,2715.428797686,0.4242
fedstaleweight,2738.454757274,0.4254
fedstaleweight,2762.388935859,0.4282
fedstaleweight,2811.633743563,0.4301
fedstaleweight,2811.634361709,0.4301
fedstaleweight,2834.562003838,0.426
fedstaleweight,2858.5204742,0.4273
fedstaleweight,2858.520829088,0.4273
fedstaleweight,2881.762794783,0.4324
fedstaleweight,2905.61931747,0.4298
fedstaleweight,2929.421804536,0.4317
fedstaleweight,3010.187934672,0.4321
fedstaleweight,3033.890980761,0.4321
fedstaleweight,3137.213838807,0.4338
fedstaleweight,3185.563588955,0.436
fedstaleweight,3210.403838082,0.432
fedstaleweight,3283.370149722,0.4366
fedstaleweight,3305.347835085,0.4405
fedstaleweight,3305.348264398,0.4405
fedstaleweight,3330.460153627,0.4409
fedstaleweight,3330.46044509,0.4409
fedstaleweight,3507.860848212,0.4428
fedstaleweight,3531.855952374,0.4421
fedstaleweight,3578.715409341,0.4402
fedstaleweight,3675.051478841,0.4465
fedstaleweight,3709.637085986,0.4429
fedstaleweight,3754.991065983,0.4465
fedstaleweight,3778.830762203,0.4477
fedstaleweight,3778.831239868,0.4477
fedstaleweight,3863.547832965,0.4444
fedstaleweight,3885.094382444,0.4478
